,Year,Panel,Category,Proposal,Project,Role,FirstName,Initials,Surname,Gender
1474,2013,CMP,STD,13-VUW-153,What makes a good egg?,AI,Jennifer,JL,Juengel,F
2159,2015,EHB,STD,15-UOC-105,Statistical learning with and without a lexicon,PI,Jennifer,JB,Hay,F
2556,2016,HUM,STD,16-UOC-058,What is the Southland accent?,AI,Jennifer,JB,Hay,F
2639,2016,SOC,STD,16-UOO-045,"The origins and development of pre-European contact musical instruments in Aotearoa (New Zealand), Rekohu and Rangiaotea (Chatham and Pitt Islands).",PI,Jennifer,JA,Cattermole,F
2742,2017,EEB,STD,17-LCR-006,Whole-genome duplication in plants: what is the pathway to success?,AI,Jennifer,JA,Tate,F
2940,2017,HUM,STD,17-UOC-049,Towards an improved theory of language change: understanding the covariation of linguistic variables within and across speakers,AI,Jennifer,JB,Hay,F
2501,2016,EIS,FS,16-UOA-246,Nano-containers for signals to cells - when and where they are needed,PI,Jenny,J,Malmstrom,F
1833,2014,CMP,FS,14-VUW-137,Metagenome mining for new bioactive natural products within New Zealand's terrestrial and marine microbial communities,PI,Jeremy,JG,Owen,M
2047,2014,SOC,STD,14-UOO-075,A new politics of peace? Investigations in contemporary pacifism and nonviolence,AI,Jeremy,JM,Moses,M
2319,2015,PCB,STD,15-VUW-095,Synthetic sulfated saccharides in cell signalling,PI,Jeremy,JE,Turnbull,M
2936,2017,HUM,STD,17-UOA-136,Blood and Money: The 'Military Industrial Complex' in Archaic Central Italy,PI,Jeremy,JS,Armstrong,M
2969,2017,MIS,STD,17-UOO-143,A computational theory of collective action,AI,Jeremy,JV,Pitt,M
1895,2014,EIS,STD,14-GNS-016,Nano-thermoelectric generators,AI,Jerome,J,Leveneur,M
2326,2015,SOC,STD,15-GNS-023,Track the black: the whakapapa of paru,AI,Jerome,J,Leveneur,M
957,2011,CMP,FS,11-AGR-006,Determining the role of an obligate anaerobe in intestinal barrier function,AI,Jerry,JM,Wells,M
2015,2014,MIS,FS,14-VUW-123,Numerical solution of time-dependent multi-dimensional nonlinear dispersive wave equations with applications to costal hydrodynamics,AI,Jerry,JL,Bona,M
909,2010,SOC,STD,10-VUW-036,Dialogic accounting: the challenge of taking multiple perspectives seriously,AI,Jesse,JF,Dillard,M
1695,2013,MIS,STD,13-UOA-169,Scaling limits and super-Brownian motion,AI,Jesse,JA,Goodman,M
2010,2014,MIS,FS,14-UOA-225,Extremes in two-dimensional Brownian geometry,PI,Jesse,JA,Goodman,M
1593,2013,EIS,FS,13-UOA-307,Predicting properties of pericardium: from optics to mechanics,PI,Jessica,JWY,Jor,F
3024,2017,SOC,STD,17-TWR-001,"Whāngai and the adoption of Māori: healing the past, transforming the future",AI,Jessica,JV,Hutchings,F
1380,2012,PCB,STD,12-UOO-065,Efficient conversion of individual microwave photons to individual optical photons,PI,Jevon,JJ,Longdell,M
2316,2015,PCB,STD,15-UOO-247,Hybrid quantum systems based on rare earth ion dopants,PI,Jevon,JJ,Longdell,M
1134,2011,MIS,FS,11-AUT-028,Games and automaticity,PI,Jiamou,J,Liu,M
844,2010,MIS,STD,10-UOA-061,Symmetry and group structure,PI,Jianbei,J,An,M
1689,2013,MIS,STD,13-UOA-038,"Group actions, structure and representations",PI,Jianbei,J,An,M
2571,2016,MIS,STD,16-UOA-043,"Symmetry, group structure, algorithms and representations",PI,Jianbei,J,An,M
2011,2014,MIS,FS,14-UOO-267,Developing inversion methods for non-stationary thinning of point processes,AI,Jiancang,J,Zhuang,M
1589,2013,EIS,FS,13-UOA-229,Polymeric molecule sponges: a new generation of sorbent media with ultra-high binding affinity and selectivity,PI,Jie,J,Han,M
2378,2016,BMS,FS,16-UOA-227,Determining the potential of the corneal Transition Zone as corneal endothelial transplants,PI,Jie,J,Zhang,M
275,2009,BMS,STD,09-MAU-009,Looking over a four-leaf clover: structural characterisation of a critical picornaviral RNA clover leaf and its interaction with a viral fusion protein,AI,Jill,J,Trewhella,F
1197,2012,BMS,STD,12-UOO-033,Feeling gravity in your bones: characterising a molecular sensor of force,AI,Jillian,J,Cornish,F
446,2009,ESA,STD,09-MAU-111,Exploding the pyroclastic-flow enigma with life-scalable experiments,AI,Jim,JR,Jones,M
572,2009,PSE,FS,09-MAU-110,Lost in transit? Investigating the imbalanced world of erosion and deposition,AI,Jim,JR,Jones,M
1896,2014,EIS,STD,14-GNS-016,Nano-thermoelectric generators,AI,Jim,JB,Metson,M
2223,2015,ESA,STD,15-MAU-085,Super-volcanic flows: are they just all hot air?,AI,Jim,JR,Jones,M
3038,2017,SOC,STD,17-UOA-323,"Shaping Public Policy: Mixed Methods Study of Alcohol, Tobacco, Gambling and Food Industry Points of Influence with Policy Makers",AI,Jim,JO,McCambridge,M
1107,2011,HUM,STD,11-VUW-061,Onscreen indigeneity: the case of Maori Television,PI,Jo,JT,Smith,F
8,2008,BMS,STD,08-UOA-086,Protein dynamics is the key to the regulation of cytokine-induced intracellular signalling,AI,Joachim,J,Grötzinger,M
540,2009,PSE,STD,09-MAU-048,Icy tornadoes in the quantum world: Josephson junctions of Bose-Einstein condensates,PI,Joachim,J,Brand,M
1735,2013,PCB,STD,13-UOO-171,Controlling the microscopic world: few-atom quantum dynamics,AI,Joachim,J,Brand,M
2606,2016,PCB,STD,16-MAU-073,Playing dice with Fermi: Full configuration interaction quantum Monte Carlo for fermionic superfluids,PI,Joachim,J,Brand,M
1559,2013,EHB,FS,13-UOC-105,"""Time slows down whenever you're around"": the evolutionary psychology of timing and perceived attractiveness",PI,Joana,JR,Arantes,F
23,2008,BMS,STD,08-UOO-148,How does secreted amyloid precursor protein alpha enhance memory mechanisms?,PI,Joanna,JM,Williams,F
280,2009,BMS,STD,09-MIM-003,Towards better vaccines: investigating the role of langerin+CD8(alpha)+ dendritic cells in innate and adaptive immunity,PI,Joanna,JR,Kirman,F
351,2009,CMP,FS,09-ESR-006,Epithelial cell wound repair: a novel in vitro approach to elucidate meningococcal virulence mechanisms,PI,Joanna,JK,MacKichan,F
669,2010,CMP,STD,10-UOA-200,Springing into flower after winter: Analysis of the molecular identity and function of SPRING flowering-time genes from the model Legume Medicago truncatula,PI,Joanna,JJ,Putterill,F
1439,2013,BMS,STD,13-UOO-111,Pumping lysine to achieve metabolic homeostasis during infection,AI,Joanna,JR,Kirman,F
1586,2013,EIS,FS,13-UOA-032,The impact of maternal arterial remodelling on placental vascular development,AI,Joanna,JL,James,F
1814,2014,CMP,STD,14-UOA-125,Questioning the CO-FT regulon model and discovering genes that regulate photoperiodic and low nitrogen-induced flowering in the model legume Medicago,PI,Joanna,JJ,Putterill,F
2354,2016,BMS,STD,16-UOA-016,PilVax: a novel peptide delivery strategy for the development of vaccines,AI,Joanna,JR,Kirman,F
2716,2017,CMP,STD,17-UOA-075,Functional analysis of MtING2 – Uncovering an independent mechanism for control of flowering by winter cold,PI,Joanna,JJ,Putterill,F
3042,2017,SOC,STD,17-UOO-003,Putting Hope into Action: What inspires and sustains young people’s engagement in social movements?,AI,Joanna,J,Kidman,F
1567,2013,EIS,STD,13-NIW-003,Dilution of turbulent buoyant plumes: is it all in the how you turn the tap?,AI,Joanne,JM,O'Callaghan,F
2696,2017,BMS,FS,17-UOA-232,Does ATP release contribute to perinatal brain injury after ischaemia?,PI,Joanne,JO,Davidson,F
2869,2017,ESA,STD,17-NIW-010,Ocean Mixing at High Reynolds Number: Efficiencies in Extrema,AI,Joanne,JM,O'Callaghan,F
2999,2017,PCB,STD,17-UOO-222,Polymer-Immobilized Carbon Monoxide Donors: Agents for Tissue Protection,AI,Joanne,JC,Harrison,F
2215,2015,ESA,STD,15-GNS-012,Is the Southern Ocean carbon sink sinking? Using records of atmospheric radiocarbon to characterise the response of the Southern Ocean to climate change,PI,Jocelyn,JC,Turnbull,F
2918,2017,ESA,FS,17-NIW-022,Where is the missing CO2? A novel multi-species approach to trace the fate of atmospheric CO2.,AI,Jocelyn,JC,Turnbull,F
811,2010,ESA,STD,10-UOW-056,New views from old soils: testing the reconstruction of environmental and climatic change using genetic signals preserved in buried paleosols,AI,Jock,GJ,Churchman,M
2611,2016,PCB,STD,16-UOA-269,Understanding internal communication within proteins,PI,Jodie,JM,Johnston,F
235,2008,PSE,STD,08-VUW-030,Strongly correlated electrons in rare-earth nitrides,PI,Joe,HJ,Trodahl,M
1581,2013,EIS,STD,13-VUW-186,Semiconductor-based spintronics: can rare-earth nitrides and group III-nitrides get it together?,AI,Joe,HJ,Trodahl,M
145,2008,ESA,STD,08-UOA-090,Magma forensics at New Zealand's supervolcanoes,PI,Joel,JA,Baker,M
324,2009,CMP,STD,09-MAU-017,Proteins from pieces: subdomain assembly in the evolution of protein structure,AI,Joel,JP,Mackay,M
363,2009,EEB,STD,09-LCR-005,Do mycorrhizal fungi determine ecosystem fate?,AI,Joel,J D,Blum,M
458,2009,ESA,STD,09-VUW-008,How does Antarctica ride the Milankovitch cycle?,AI,Joel,JA,Baker,M
640,2010,BMS,STD,10-UOO-098,Multifunctional azoles: A triple whammy designed to defeat drug resistance,AI,Joel,JDA,Tyndall,M
813,2010,ESA,STD,10-VUW-161,Platinum stable isotope tracing of the accretion and differentiation of the Earth and evolution of its oceans and atmosphere,AI,Joel,JA,Baker,M
1519,2013,EEB,FS,13-UOO-119,In the cradle of the double helix: a novel proposal for the origin of life,AI,Joel,JDA,Tyndall,M
2231,2015,ESA,STD,15-UOA-265,Putting the Pacific Ocean to the litmus test: resolving a multi-millennial record of ocean pH from corals with the boron isotope proxy,AI,Joel,JA,Baker,M
2524,2016,ESA,STD,16-UOA-333,Opening Nature's vaults: speleothem archives of volcanic eruptions,PI,Joel,JA,Baker,M
2563,2016,HUM,STD,16-VUW-193,Constituent Power and the Law,PI,Joel,I,Colon-Rios,M
2896,2017,ESA,STD,17-VUW-094,Did a previous collapse of the Antarctic Ice Sheet cause abrupt climate change in the Southern Hemisphere?,AI,Joel,JB,Pedro,M
798,2010,ESA,STD,10-GNS-029,"Uncorking the hydrate bottle: Release of methane from melting gas hydrates during glacial cycles on the Chatham Rise, New Zealand",AI,Joerg,JMK,Bialas,M
2549,2016,ESA,FS,16-VUW-171,Establishing natural baselines of glacier variability in a warm world,AI,Joerg,JM,Schaefer,M
308,2009,BMS,FS,09-UOA-177,Searching for sirtuins secrets in skeletal muscle,PI,Johann,JA,Edge,M
283,2009,BMS,STD,09-UOA-078,How are the correct synaptic connections maintained to ensure correct sensory function?,PI,Johanna,JM,Montgomery,F
965,2011,CMP,FS,11-LIU-001,Geomagnetic calendars: biological regulation at the planetary level,PI,Johanna,JM,Steyaert,F
1431,2013,BMS,STD,13-UOA-053,Identifying a zinc link in Autism Spectrum Disorders.,PI,Johanna,JM,Montgomery,F
1808,2014,BMS,FS,14-UOA-148,Creating neural bridges: a conducting polymer neurotransmitter releasing system,AI,Johanna,JM,Montgomery,F
2374,2016,BMS,FS,16-UOA-182,Measuring in vivo activity in the prefrontal cortex and its link to Autism Spectrum Disorders,AI,Johanna,JM,Montgomery,F
1099,2011,ESA,FS,11-VUW-071,For how long can glaciers keep advancing in a warming world?,AI,Johannes,J,Oerlemans,M
1373,2012,PCB,STD,12-UOA-078,Towards atomic resolution biological imaging using free electron X-ray laser radiation - the granulovirus connection,PI,Johannes,JA,Jehle,M
2059,2014,SOC,STD,14-VUW-082,Re-placing commodity dependence: alternative sustainable and ethical value chains in the resource periphery,AI,Johannes,J,Rehner,M
2768,2017,EEB,STD,17-UOO-225,TB or not TB - examining the origin and evolution of tuberculosis in the pre-European Pacific,AI,Johannes,J,Krause,M
58,2008,EEB,STD,08-CRO-005,Aposematic colouration in plants: 'honest' signals of chemical defences & influences on herbivore fitness,AI,John,JW,van Klink,M
64,2008,EEB,STD,08-GNS-017,Was collapse inevitable on Easter Island (Rapa Nui): reconstructing a civilisation's failure,AI,John,JR,Flenley,M
110,2008,EHB,STD,08-VDV-001,What is happening in the brain during micro-sleeps?,AI,John,JC,Dalrymple-Alford,M
153,2008,ESA,STD,08-UOO-034,Unlocking Early Miocene climate: New Zealand in a warmer world,AI,John,JG,Conran,M
250,2008,SOC,STD,08-UOC-007,Building sustainable peace in the South Pacific,AI,John,J,Henderson,M
341,2009,CMP,STD,09-UOO-096,Dopamine and learning - it's all in the timing,PI,John,JNJ,Reynolds,M
421,2009,EHB,STD,09-UOA-117,Disasters and asset pricing,AI,John,JB,Lee,M
533,2009,PSE,STD,09-IRL-008,The irony of spin: complex and competing magnetic and electronic interactions in Fe-based compounds,AI,John,JV,Kennedy,M
646,2010,BMS,FS,10-UOO-165,Critically ill with a failing kidney: how can we predict what happens next?,PI,John,JW,Pickering,M
724,2010,EHB,STD,10-UOW-016,Why the world does not look flat to Cyclops and one-eyed pirates: The role of visual motion in human depth perception,PI,John,JA,Perrone,M
754,2010,EIS,STD,10-UOC-093,Interactions of biological cells with bio-imprinted patterns,PI,John,JJ,Evans,M
776,2010,ESA,STD,10-GNS-011,"Deep Fault Drilling Project: Physical properties and ambient conditions within the active Alpine Fault plate boundary in central South Island, New Zealand",PI,John,J,Townend,M
805,2010,ESA,STD,10-UOC-012,Extrasolar planets in binary star systems,PI,John,JB,Hearnshaw,M
914,2010,SOC,STD,10-VUW-046,The inverse sovereignty effect: The new aid agenda in Pacific Island States,PI,John,JD,Overton,M
930,2011,BMS,STD,11-UOA-201,A novel route to restricting G-protein coupled receptor signalling,AI,John,JK,Northup,M
1014,2011,EHB,STD,11-UOW-056,The impact of behavioural and environmental change on health: indoor and outdoor pollution and immigrant asthma in New Zealand,PI,John,JK,Gibson,M
1059,2011,ESA,STD,11-UOO-043,Life in and beyond maars: a revolution in understanding New Zealand Miocene terrestrial biodiversity and ecosystems,AI,John,JG,Conran,M
1113,2011,MIS,STD,11-AMC-001,Numerical methods for stiff and Hamiltonian problems,PI,John,JC,Butcher,M
1266,2012,EHB,STD,12-UOO-067,Mind the gap? Worker productivity and pay gaps between similar workers in New Zealand,AI,John,JK,Gibson,M
1321,2012,ESA,FS,12-GNS-028,Fingerprinting geothermal fluids: tracking the magmatic signature,AI,John,JH,Dilles,M
1334,2012,HUM,STD,12-UOO-018,Ecologies of skill in early modern England,AI,John,J,Sutton,M
1426,2012,SOC,FS,12-VUW-053,Motivation and achievement: a study of complex relations,AI,John,JAC,Hattie,M
1475,2013,CMP,STD,13-VUW-153,What makes a good egg?,AI,John,J,Peek,M
1501,2013,EEB,STD,13-UOO-209,Ladies before gentlemen: investigating the molecular basis of female to male sex change in sequentially hermaphroditic fish,AI,John,JR,Godwin,M
1507,2013,EEB,STD,13-VUW-037,Using interaction networks to explain invasion success and community dominance: wasps in an old and new world,AI,John,J,Haywood,M
1558,2013,EHB,FS,13-UOC-105,"""Time slows down whenever you're around"": the evolutionary psychology of timing and perceived attractiveness",AI,John,JH,Wearden,M
1573,2013,EIS,STD,13-UOC-073,Imaging fibrous biomolecules with x-ray free-electron lasers,PI,John,JCH,Spence,M
1632,2013,ESA,STD,13-VUW-101,Locked and loaded? Effects of deep seismic and aseismic deformation on Alpine Fault earthquakes,PI,John,J,Townend,M
1652,2013,ESA,FS,13-GNS-035,Reconstructing complex ground motion effects in Christchurch during the Canterbury earthquakes: what does this mean for future ground motion prediction?,AI,John,AJ,Haines,M
1840,2014,EEB,STD,14-UOA-080,Predicting the adaptive potential of small populations: a case study in the endangered New Zealand hihi,AI,John,JG,Ewen,M
1860,2014,EEB,FS,14-DGF-001,Fast-forward fish: resilience of exploited marine populations to a changing ocean,AI,John,JR,Wiedenmann,M
1883,2014,EHB,STD,14-UOW-014,The price is right? Sin taxes and consumption,PI,John,JK,Gibson,M
1898,2014,EIS,STD,14-GNS-016,Nano-thermoelectric generators,PI,John,JV,Kennedy,M
1937,2014,ESA,STD,14-UOO-102,Captured in amber: ecological complexity in New Zealand's ancient araucarian forests,AI,John,JG,Conran,M
2041,2014,PCB,FS,14-VUW-177,Putting the heat on high-temperature superconductors,AI,John,JR,Cooper,M
2058,2014,SOC,STD,14-VUW-081,Educating for emigration? Searching for appropriate education policy in the Pacific Islands,PI,John,JD,Overton,M
2060,2014,SOC,STD,14-VUW-082,Re-placing commodity dependence: alternative sustainable and ethical value chains in the resource periphery,AI,John,JD,Overton,M
2248,2015,ESA,FS,15-GNS-002,Do softer rocks and fluids control earthquake behaviour? Probing the Hikurangi subduction mega-thrust using full-waveform inversion,AI,John,J,Ristau,M
2342,2015,SOC,STD,15-VUW-001,Intolerable risks: the search for security in an age of anxiety,PI,John,J,Pratt,M
2489,2016,EIS,STD,16-UOA-296,New Optical Sensors for Geophysical Applications,AI,John,J,Townend,M
2521,2016,ESA,STD,16-UOA-333,Opening Nature's vaults: speleothem archives of volcanic eruptions,AI,John,J,Hellstrom,M
2581,2016,MIS,STD,16-UOA-286,Understanding the geometry of dynamics: invariant manifolds and their interactions,AI,John,JM,Guckenheimer,M
2643,2016,SOC,STD,16-UOW-064,Counting our Tūpuna: Colonisation and Indigenous Survivorship in Aotearoa NZ,AI,John,JR,Bryant,M
2709,2017,CMP,STD,17-PAF-006,Better red than dead: Ancient origins of stress tolerance in land plants,AI,John,JL,Bowman,M
2757,2017,EEB,STD,17-MAU-091,Is individual variation relevant to population dynamics?,PI,John,JG,Ewen,M
2930,2017,ESA,FS,17-VUW-121,The straw that didn’t break the camel’s back: what variations in stressing-rate can faults withstand?,AI,John,J,Townend,M
487,2009,ESA,FS,09-UOC-023,Did Indonesian tectonic uplift change ocean circulation and global climate 3-4 Myr ago?,AI,Jon,JD,Woodhead,M
1060,2011,ESA,STD,11-UOO-043,Life in and beyond maars: a revolution in understanding New Zealand Miocene terrestrial biodiversity and ecosystems,AI,Jon,JK,Lindqvist,M
1938,2014,ESA,STD,14-UOO-102,Captured in amber: ecological complexity in New Zealand's ancient araucarian forests,AI,Jon,JK,Lindqvist,M
2515,2016,ESA,STD,16-NIW-027,Active submarine landslides ride on gas pockets,AI,Jon,JM,Carey,M
2910,2017,ESA,FS,17-GNS-030,Shaken not stirred: What triggers slip in shallow subduction zones?,PI,Jon,JM,Carey,M
551,2009,PSE,STD,09-UOC-080,Probing the structure and femtosecond dynamics of excited states of lanthanide phosphor materials,AI,Jon-Paul,J-PR,Wells,M
880,2010,PCB,STD,10-UOC-041,A terrestrial measurement of the frame dragging of the rotating Earth,PI,Jon-Paul,J-PR,Wells,M
90,2008,EEB,STD,08-UOW-042,"Life at the extreme: resolving the genetic basis of microbial endemism in the super-heated soils of Mt Erebus, Antarctica",AI,Jonathan,JA,Eisen,M
243,2008,SOC,STD,08-MAU-002,Social meanings of medication,PI,Jonathan,J,Gabe,M
264,2008,SOC,STD,08-UOO-156,Tirohia He Huarahi: Co-management of environment by indigenous people,AI,Jonathan,J,Dick,M
886,2010,PCB,FS,10-UOA-203,Synthesis of natural bis-indoles - prevention and chemotherapy of cancer,PI,Jonathan,J,Sperry,M
987,2011,EEB,STD,11-UOO-185,The biogeographic importance of historical contingency: extinction and recolonisation in coastal New Zealand,PI,Jonathan,JM,Waters,M
997,2011,EEB,FS,11-UOO-139,Are old males still good males and can females tell the difference?,AI,Jonathan,JP,Evans,M
1092,2011,ESA,FS,11-UOO-195,The winds of change: evaluating New Zealand’s hydrologic response to changing Southern Hemisphere westerly winds,AI,Jonathan,JE,Nichols,M
1332,2012,HUM,STD,12-UOA-234,Toi te Mana: a history of indigenous art from Aotearoa New Zealand,PI,Jonathan,J,Mane-Wheoki,M
1543,2013,EHB,STD,13-UOO-224,The causal role of religious belief in managing death anxiety and intergroup discrimination,PI,Jonathan,J,Jong,M
1568,2013,EIS,STD,13-NIW-003,Dilution of turbulent buoyant plumes: is it all in the how you turn the tap?,AI,Jonathan,JD,Nash,M
1844,2014,EEB,STD,14-UOC-013,Epigenetics and flexible plant memory: how past environmental cues lead to episodic mast flowering,AI,Jonathan,JWT,Love,M
1857,2014,EEB,STD,14-UOO-260,Use it or lose it: unravelling the genetic basis of flight-loss in New Zealand's alpine insects,PI,Jonathan,JM,Waters,M
2043,2014,PCB,FS,14-VUW-218,Novel organic metal halides for perovskite sensitised solar cells,PI,Jonathan,J,Halpert,M
2061,2014,SOC,STD,14-VUW-082,Re-placing commodity dependence: alternative sustainable and ethical value chains in the resource periphery,AI,Jonathan,JR,Barton,M
2236,2015,ESA,STD,15-UOC-049,Shaking magma to trigger volcanic eruptions,AI,Jonathan,JM,Castro,M
2359,2016,BMS,STD,16-UOA-054,Stop or go? Unravelling the mechanisms behind lymphatic vessel patterning.,PI,Jonathan,JW,Astin,M
2443,2016,EEB,FS,16-CAW-002,Blooming buddies: Explaining the co-existence of toxic and non-toxic strains in algal blooms,PI,Jonathan,J,Puddick,M
3006,2017,PCB,FS,17-UOO-209,The small scales call the shots: the effect of microinstabilities on collisionless cosmic fluids,PI,Jonathan,J,Squire,M
558,2009,PSE,STD,09-UOO-003,Global simulation of gravitational waves from isolated systems,PI,Jörg,J,Frauendiener,M
664,2010,CMP,STD,10-MAU-081,Moving genes in genome structure and memory,AI,Jörg,J,Langowski,M
1367,2012,MIS,FS,12-UOO-143,Causality and cosmological models in general relativity,AI,Jörg,J,Frauendiener,M
1368,2012,MIS,FS,12-UOO-143,Causality and cosmological models in general relativity,PI,Jörg,J,Hennig,M
419,2009,EHB,STD,09-UOA-173,Redrawing the Polynesian Triangle: Did Polynesian settlement extend to South America?,AI,Jose-Miguel,JM,Ramirez,M
2224,2015,ESA,STD,15-MAU-085,Super-volcanic flows: are they just all hot air?,AI,Josef,JD,Dufek,M
587,2009,SOC,STD,09-UOA-046,Te Ao Tawhito: the ancient Maori world,AI,Joseph,J,Te Rito,M
952,2011,CMP,STD,11-UOO-125,Young versus mature neurons: competition for the representation of memory,AI,Joseph,JW,Lynch,M
979,2011,EEB,STD,11-UOA-239,The cultural evolution of religion,AI,Joseph,JA,Bulbulia,M
1269,2012,EHB,STD,12-UOW-006,What makes us share food with others? The role of neurohormone oxytocin in social aspects of eating behaviour,AI,Joseph,JR,Waas,M
1389,2012,PCB,FS,12-UOW-007,Photodissociation of nitrous oxide in the atmosphere,PI,Joseph,JR,Lane,M
1774,2013,SOC,STD,13-VUW-203,The social consequences of spirituality and religion: a twenty year longitudinal study,PI,Joseph,JA,Bulbulia,M
2519,2016,ESA,STD,16-NIW-027,Active submarine landslides ride on gas pockets,PI,Joshu,JJ,Mountjoy,M
2396,2016,CMP,STD,16-UOO-207,Silencing unwanted expression in molecular circuits using naturally evolved solutions,AI,Joshua,JP,Ramsay,M
2903,2017,ESA,FS,17-GNS-022,Probing the crust with zircon; a new pathfinder for mineral deposition?,AI,Joshua,JJ,Schwartz,M
514,2009,MIS,STD,09-UOC-008,New mathematical tools to unravel complex ancestry,AI,Jotun,J,Hein,M
50,2008,CMP,STD,08-VUW-010,How does fertility factor BMP15 regulate the ovulation quota in mammals?,PI,Joy,CJ,McIntosh,F
2633,2016,SOC,STD,16-UOA-225,"Māori, Pasifika Youth and Justice: International Comparisons",AI,Juan,JM,Tauri,M
1508,2013,EEB,STD,13-VUW-037,Using interaction networks to explain invasion success and community dominance: wasps in an old and new world,AI,Juan Carlos,JC,Corley,M
2324,2015,SOC,STD,15-AUT-024,Whanau violence: Indigenous women keeping safe in unsafe intimate relationships,AI,Juanita,J,Sherwood,F
2544,2016,ESA,FS,16-VUW-105,Finding the needle by removing the haystack: modeling diffuse foregrounds to detect the Epoch of Reionization,AI,Judd,JD,Bowman,M
472,2009,ESA,STD,09-VUW-121,Pulsating white dwarf stars: unique astrophysical laboratories,PI,Judith,JL,Provencal,F
601,2009,SOC,STD,09-UOO-023,Mothers' darlings: children of indigenous women and World War Two American servicemen in New Zealand and South Pacific societies,PI,Judith,JA,Bennett,F
744,2010,EIS,STD,10-UOA-021,Multiobjective network equilibria - From definition to algorithms,AI,Judith,JYT,Wang,F
1872,2014,EHB,STD,14-UOA-019,"8,000 years of hunter-gatherer adaptation: burial and bioarchaeology at Roonka, Australia",PI,Judith,JH,Littleton,F
2049,2014,SOC,STD,14-UOO-152,Constant coconuts: a history of a versatile commodity in the Pacific world,PI,Judith,JA,Bennett,F
3043,2017,SOC,STD,17-UOO-003,Putting Hope into Action: What inspires and sustains young people’s engagement in social movements?,AI,Judith,JL,Sligo,F
910,2010,SOC,STD,10-VUW-036,Dialogic accounting: the challenge of taking multiple perspectives seriously,PI,Judy,JA,Brown,F
2599,2016,MIS,FS,16-VUW-079,Automatic Design of Heuristics for Dynamic Arc Routing Problem with Genetic Programming,AI,Juergen,J,Branke,M
2591,2016,MIS,FS,16-UOA-084,Dependence Logic and Its Applications,AI,Juha,JA,Kontinen,M
285,2009,BMS,STD,09-UOO-043,The two faces of WTX in human development,AI,Julia,JA,Horsfield,F
951,2011,CMP,STD,11-UOO-027,Linking cell division with differentiation: is stem cell fate sealed by cohesin?,PI,Julia,JA,Horsfield,F
1911,2014,EIS,STD,14-UOW-011,Bed roughness controls on mangrove swamp stability,PI,Julia,JC,Mullarney,F
2393,2016,CMP,STD,16-UOO-072,Becoming master of your destiny: insights into genome activation from nuclear structure,PI,Julia,JA,Horsfield,F
34,2008,CMP,STD,08-UOO-043,Shedding light on membrane protein biogenesis and repair in oxygenic photosynthesis,PI,Julian,JJ,Eaton-Rye,M
2673,2017,BMS,STD,17-UOA-206,Defending blood flow to the Selfish Brain,AI,Julian,JFR,Paton,M
134,2008,ESA,STD,08-GNS-016,New Zealand's floral origins and the Oligocene land crisis,AI,Julie,JA,Palmer,F
904,2010,SOC,STD,10-UOO-013,"Troubling ‘choice’. Exploring and explaining techniques of moral reasoning for people living at the intersection of reproductive technologies, genetics, and disability",PI,Julie,JK,Park,F
994,2011,EEB,FS,11-UOC-081,"The importance of cospeciation, host-switching, and geographic isolation in the evolutionary history of a vine and its parasite",AI,Julie,JF,Barcelona,F
1112,2011,HUM,FS,11-UOW-007,Exploring mood systems in the Oceanic languages of Vanuatu,PI,Julie,J,Barbour,F
1168,2011,SOC,STD,11-UOC-008,"Geographies of media convergence: spaces of democracy, connectivity and the reconfiguration of cultural citizenship",PI,Julie,J,Cupples,F
2156,2015,EEB,FS,15-VUW-069,"First come, best served? The role of generalist and specialist species in the assembly, diversity and productivity of ecosystems",PI,Julie,JR,Deslippe,F
2662,2016,SOC,FS,16-UOA-185,"Power to the People? Investigating the Politics and Resilience of Community Energy Initiatives in New Zealand, the UK, and Denmark",PI,Julie,JL,MacArthur,F
426,2009,EHB,STD,09-UOO-074,Do you remember this? Age-related changes in the effect of verbal reminders,AI,Julien,J,Gross,M
2172,2015,EHB,STD,15-UOO-061,Out of the mouths of babes: interviewing children in forensic contexts,AI,Julien,J,Gross,M
353,2009,CMP,FS,09-UOC-076,Why is the most abundant enzyme in the world lacking specificity?,AI,Juliet,JA,Gerrard,F
605,2009,SOC,STD,09-UOW-036,Sustainability at the cross roads: examining the vulnerability of New Zealand's global environmental positioning,PI,Juliet,JP,Roper,F
2375,2016,BMS,FS,16-UOA-182,Measuring in vivo activity in the prefrontal cortex and its link to Autism Spectrum Disorders,PI,Juliette,JE,Cheyne,F
995,2011,EEB,FS,11-UOC-081,"The importance of cospeciation, host-switching, and geographic isolation in the evolutionary history of a vine and its parasite",AI,Jun,J,Wen,M
2720,2017,CMP,STD,17-UOA-257,Rewiring life: using synthetic biology and experimental evolution to unravel the evolutionary origins of DNA.,PI,Jun,J,Ogawa,M
2095,2015,BMS,FS,15-UOA-209,A novel approach for studying the mechanoenergetics of the heart at the tissue level,PI,June-Chiew,J-C,Han,F
534,2009,PSE,STD,09-IRL-008,The irony of spin: complex and competing magnetic and electronic interactions in Fe-based compounds,AI,Jürgen,J,Haase,M
668,2010,CMP,STD,10-MAU-081,Moving genes in genome structure and memory,PI,Justin,JM,O'Sullivan,M
